date,value
5/31/2016,110.75
6/1/2016,109.55
6/2/2016,108.75
6/3/2016,106.88
6/4/2016,106.88
6/5/2016,106.88
6/6/2016,107.33
6/7/2016,107.3
6/8/2016,106.99
6/9/2016,107.1
6/10/2016,106.97
6/11/2016,106.97
6/12/2016,106.97
6/13/2016,106.26
6/14/2016,106.11
6/15/2016,106.01
6/16/2016,104.26
6/17/2016,104.16
6/18/2016,104.16
6/19/2016,104.16
6/20/2016,103.94
6/21/2016,104.75
6/22/2016,104.41
6/23/2016,106.16
6/24/2016,102.22
6/25/2016,102.22
6/26/2016,102.22
6/27/2016,102
6/28/2016,102.75
6/29/2016,102.83
6/30/2016,103.2
7/1/2016,102.52
7/2/2016,102.52
7/3/2016,102.52
7/4/2016,102.56
7/5/2016,101.74
7/6/2016,101.32
7/7/2016,100.77
7/8/2016,100.54
7/9/2016,100.54
7/10/2016,100.54
7/11/2016,102.8
7/12/2016,104.69
7/13/2016,104.49
7/14/2016,105.35
7/15/2016,104.88
7/16/2016,104.88
7/17/2016,104.88
7/18/2016,106.16
7/19/2016,106.12
7/20/2016,106.89
7/21/2016,105.82
7/22/2016,106.13
7/23/2016,106.13
7/24/2016,106.13
7/25/2016,105.81
7/26/2016,104.66
7/27/2016,105.4
7/28/2016,105.27
7/29/2016,102.06
7/30/2016,102.06
7/31/2016,102.06
8/1/2016,102.39
8/2/2016,100.89
8/3/2016,101.24
8/4/2016,101.22
8/5/2016,101.82
8/6/2016,101.82
8/7/2016,101.82
8/8/2016,102.45
8/9/2016,101.88
8/10/2016,101.29
8/11/2016,101.96
8/12/2016,101.3
8/13/2016,101.3
8/14/2016,101.3
8/15/2016,101.26
8/16/2016,100.31
8/17/2016,100.28
8/18/2016,99.89
8/19/2016,100.22
8/20/2016,100.22
8/21/2016,100.22
8/22/2016,100.33
8/23/2016,100.24
8/24/2016,100.45
8/25/2016,100.53
8/26/2016,101.84
8/27/2016,101.84
8/28/2016,101.84
8/29/2016,101.92
8/30/2016,102.96
8/31/2016,103.43
9/1/2016,103.23
9/2/2016,103.92
9/3/2016,103.92
9/4/2016,103.92
9/5/2016,103.43
9/6/2016,102.02
9/7/2016,101.74
9/8/2016,102.49
9/9/2016,102.69
9/10/2016,102.69
9/11/2016,102.69
9/12/2016,101.85
9/13/2016,102.56
9/14/2016,102.43
9/15/2016,102.1
9/16/2016,102.29
9/17/2016,102.29
9/18/2016,102.29
9/19/2016,101.93
9/20/2016,101.7
9/21/2016,100.32
9/22/2016,100.76
9/23/2016,101.02
9/24/2016,101.02
9/25/2016,101.02
9/26/2016,100.33
9/27/2016,100.43
9/28/2016,100.69
9/29/2016,101.03
9/30/2016,101.35
10/1/2016,101.35
10/2/2016,101.35
10/3/2016,101.65
10/4/2016,102.9
10/5/2016,103.5
10/6/2016,103.95
10/7/2016,102.98
10/8/2016,102.98
10/9/2016,102.98
10/10/2016,103.61
10/11/2016,103.51
10/12/2016,104.21
10/13/2016,103.71
10/14/2016,104.18
10/15/2016,104.18
10/16/2016,104.18
10/17/2016,103.89
10/18/2016,103.87
10/19/2016,103.44
10/20/2016,103.95
10/21/2016,103.8
10/22/2016,103.8
10/23/2016,103.8
10/24/2016,104.18
10/25/2016,104.22
10/26/2016,104.47
10/27/2016,105.29
10/28/2016,104.74
10/29/2016,104.74
10/30/2016,104.74
10/31/2016,104.82
11/1/2016,104.15
11/2/2016,103.3
11/3/2016,102.98
11/4/2016,103.12
11/5/2016,103.12
11/6/2016,103.12
11/7/2016,104.46
11/8/2016,105.16
11/9/2016,105.67
11/10/2016,106.83
11/11/2016,106.65
11/12/2016,106.65
11/13/2016,106.65
11/14/2016,108.42
11/15/2016,109.2
11/16/2016,109.08
11/17/2016,110.12
11/18/2016,110.91
11/19/2016,110.91
11/20/2016,110.91
11/21/2016,110.82
11/22/2016,111.14
11/23/2016,112.52
11/24/2016,113.33
11/25/2016,113.22
11/26/2016,113.22
