date,value
14/02/2017,114.34
15/02/2017,114.17
16/02/2017,113.36
17/02/2017,112.86
20/02/2017,.
21/02/2017,113.48
22/02/2017,113.46
23/02/2017,112.68
24/02/2017,112.26
27/02/2017,112.01
28/02/2017,112.06
01/03/2017,113.66
02/03/2017,114.45
03/03/2017,114.6
06/03/2017,113.92
07/03/2017,113.99
08/03/2017,114.58
09/03/2017,114.71
10/03/2017,115.02
13/03/2017,114.61
14/03/2017,114.63
15/03/2017,114.66
16/03/2017,113.02
17/03/2017,112.67
20/03/2017,112.59
21/03/2017,111.9
22/03/2017,111.06
23/03/2017,111.12
24/03/2017,111.03
27/03/2017,110.48
28/03/2017,110.56
29/03/2017,111.05
30/03/2017,111.36
31/03/2017,111.41
03/04/2017,110.96
04/04/2017,110.74
05/04/2017,111.2
06/04/2017,111.02
07/04/2017,110.76
10/04/2017,110.95
11/04/2017,109.74
12/04/2017,109.54
13/04/2017,109.23
14/04/2017,108.63
17/04/2017,108.46
18/04/2017,108.4
19/04/2017,109.06
20/04/2017,109.34
21/04/2017,109.08
24/04/2017,109.74
25/04/2017,110.88
26/04/2017,111.52
27/04/2017,111.13
28/04/2017,111.44
01/05/2017,111.78
02/05/2017,112.06
03/05/2017,112.34
04/05/2017,112.7
05/05/2017,112.63
08/05/2017,112.84
09/05/2017,114.19
10/05/2017,114.02
11/05/2017,113.77
12/05/2017,113.3
15/05/2017,113.54
16/05/2017,113.24
17/05/2017,111.46
18/05/2017,110.82
19/05/2017,111.47
22/05/2017,111.15
23/05/2017,111.64
24/05/2017,112.02
25/05/2017,111.7
26/05/2017,111.3
29/05/2017,.
30/05/2017,110.68
31/05/2017,110.71
01/06/2017,111.24
02/06/2017,110.49
05/06/2017,110.49
06/06/2017,109.34
07/06/2017,109.54
08/06/2017,110.1
09/06/2017,110.61
12/06/2017,109.72
13/06/2017,110.12
14/06/2017,109.16
15/06/2017,110.66
16/06/2017,110.84
19/06/2017,111.34
20/06/2017,111.46
21/06/2017,111.58
22/06/2017,111.36
23/06/2017,111.26
26/06/2017,111.48
27/06/2017,112.42
28/06/2017,112.18
29/06/2017,112.32
30/06/2017,112.4
03/07/2017,113.32
04/07/2017,.
05/07/2017,113.2
06/07/2017,113.28
07/07/2017,114.1
10/07/2017,114.08
11/07/2017,114.2
12/07/2017,113.19
13/07/2017,113.39
14/07/2017,112.66
17/07/2017,112.76
18/07/2017,111.89
19/07/2017,111.77
20/07/2017,111.68
21/07/2017,111.18
24/07/2017,111.1
25/07/2017,111.57
26/07/2017,112.1
27/07/2017,111.62
28/07/2017,110.87
31/07/2017,110.38
01/08/2017,110.33
02/08/2017,110.43
03/08/2017,110.12
04/08/2017,110.76
07/08/2017,110.76
08/08/2017,110.74
09/08/2017,110.04
10/08/2017,109.37
11/08/2017,109.06
14/08/2017,109.48
15/08/2017,110.42
16/08/2017,110.8
17/08/2017,109.88
18/08/2017,109.32
21/08/2017,108.89
22/08/2017,109.4
23/08/2017,109.14
24/08/2017,109.34
25/08/2017,109.24
28/08/2017,109.22
29/08/2017,109.02
30/08/2017,110.2
31/08/2017,110.06
01/09/2017,110.09
04/09/2017,.
05/09/2017,108.94
06/09/2017,108.75
07/09/2017,108.26
08/09/2017,107.72
11/09/2017,109.03
12/09/2017,110.01
13/09/2017,110.58
14/09/2017,110.66
15/09/2017,110.84
18/09/2017,111.48
19/09/2017,111.49
20/09/2017,111.5
21/09/2017,112.3
22/09/2017,112.01
25/09/2017,111.64
26/09/2017,112.16
27/09/2017,112.76
28/09/2017,112.66
29/09/2017,112.64
02/10/2017,112.6
03/10/2017,112.8
04/10/2017,112.84
05/10/2017,112.74
06/10/2017,112.68
09/10/2017,.
10/10/2017,112.15
11/10/2017,112.35
12/10/2017,112.38
13/10/2017,111.94
16/10/2017,111.72
17/10/2017,112.32
18/10/2017,112.94
19/10/2017,112.54
20/10/2017,113.5
23/10/2017,113.66
24/10/2017,113.92
25/10/2017,113.7
26/10/2017,113.72
27/10/2017,113.82
30/10/2017,113.26
31/10/2017,113.63
01/11/2017,114.04
02/11/2017,113.84
03/11/2017,114.25
06/11/2017,113.9
07/11/2017,113.9
08/11/2017,113.62
09/11/2017,113.4
10/11/2017,.
13/11/2017,113.62
14/11/2017,113.5
15/11/2017,113.15
16/11/2017,112.89
17/11/2017,111.98
20/11/2017,112.49
21/11/2017,112.46
22/11/2017,111.62
23/11/2017,.
24/11/2017,111.54
27/11/2017,111
28/11/2017,111.13
29/11/2017,111.75
30/11/2017,112.3
01/12/2017,111.88
04/12/2017,112.8
05/12/2017,112.76
06/12/2017,112.32
07/12/2017,112.7
08/12/2017,113.55
11/12/2017,113.34
12/12/2017,113.62
13/12/2017,113.19
14/12/2017,112.56
15/12/2017,112.68
18/12/2017,112.4
19/12/2017,112.98
20/12/2017,113.29
21/12/2017,113.42
22/12/2017,113.3
25/12/2017,.
26/12/2017,113.2
27/12/2017,113.28
28/12/2017,112.85
29/12/2017,112.69
01/01/2018,.
02/01/2018,112.18
03/01/2018,112.28
04/01/2018,112.78
05/01/2018,113.18
08/01/2018,113.08
09/01/2018,112.57
10/01/2018,111.48
11/01/2018,111.35
12/01/2018,111.23
15/01/2018,.
16/01/2018,110.74
17/01/2018,110.81
18/01/2018,110.88
19/01/2018,110.56
22/01/2018,111.15
23/01/2018,110.46
24/01/2018,109.15
25/01/2018,108.7
26/01/2018,108.38
29/01/2018,109.12
30/01/2018,108.9
31/01/2018,109.31
01/02/2018,109.5
02/02/2018,110.4
05/02/2018,110.09
06/02/2018,109.18
07/02/2018,109.53
08/02/2018,109
09/02/2018,108.44
12/02/2018,108.72
13/02/2018,107.59
14/02/2018,107
15/02/2018,106.36
16/02/2018,106.1
19/02/2018,.
20/02/2018,107.23
21/02/2018,107.64
22/02/2018,106.96
23/02/2018,106.64
26/02/2018,106.96
27/02/2018,107.47
28/02/2018,106.62
01/03/2018,106.91
02/03/2018,105.65
05/03/2018,105.97
06/03/2018,106.03
07/03/2018,105.94
08/03/2018,106.08
09/03/2018,106.74
12/03/2018,106.52
13/03/2018,106.64
14/03/2018,106.17
15/03/2018,106.07
16/03/2018,106.1
19/03/2018,105.83
20/03/2018,106.42
21/03/2018,106.3
22/03/2018,105.34
23/03/2018,104.83
26/03/2018,105
27/03/2018,105.72
28/03/2018,106.3
29/03/2018,106.27
30/03/2018,106.2
02/04/2018,105.99
03/04/2018,106.45
04/04/2018,106.56
05/04/2018,107.48
06/04/2018,107.03
09/04/2018,107.06
10/04/2018,107.3
11/04/2018,106.78
12/04/2018,107.3
13/04/2018,107.52
16/04/2018,107.26
17/04/2018,107.09
18/04/2018,107.26
19/04/2018,107.42
20/04/2018,107.6
23/04/2018,108.62
24/04/2018,109.03
25/04/2018,109.33
26/04/2018,109.3
27/04/2018,109.12
30/04/2018,109.28
01/05/2018,109.69
02/05/2018,109.89
03/05/2018,109.06
04/05/2018,109.16
07/05/2018,109.14
08/05/2018,109.16
09/05/2018,109.68
10/05/2018,109.53
11/05/2018,109.26
14/05/2018,109.52
15/05/2018,110.25
16/05/2018,110.22
17/05/2018,110.76
18/05/2018,110.71
21/05/2018,111.08
22/05/2018,110.94
23/05/2018,110.05
24/05/2018,109.3
25/05/2018,109.35
28/05/2018,.
29/05/2018,108.62
30/05/2018,109.04
31/05/2018,108.73
01/06/2018,109.49
04/06/2018,109.66
05/06/2018,109.63
06/06/2018,110
07/06/2018,109.92
08/06/2018,109.45
11/06/2018,109.94
12/06/2018,110.22
13/06/2018,110.41
14/06/2018,110.44
15/06/2018,110.58
18/06/2018,110.44
19/06/2018,110.02
20/06/2018,110.14
21/06/2018,110.05
22/06/2018,109.98
25/06/2018,109.62
26/06/2018,109.92
27/06/2018,110.34
28/06/2018,110.38
29/06/2018,110.71
02/07/2018,110.73
03/07/2018,110.54
04/07/2018,.
05/07/2018,110.59
06/07/2018,110.48
09/07/2018,110.78
10/07/2018,111.24
11/07/2018,111.52
12/07/2018,112.41
13/07/2018,112.38
16/07/2018,112.29
17/07/2018,112.79
18/07/2018,112.82
19/07/2018,112.98
20/07/2018,111.74
23/07/2018,111.36
24/07/2018,111.27
25/07/2018,111.02
26/07/2018,111.2
27/07/2018,110.94
30/07/2018,110.98
31/07/2018,111.88
01/08/2018,111.72
02/08/2018,111.48
03/08/2018,111.12
06/08/2018,111.43
07/08/2018,111.19
08/08/2018,110.96
09/08/2018,110.9
10/08/2018,110.66
13/08/2018,110.65
14/08/2018,110.92
15/08/2018,110.62
16/08/2018,110.89
17/08/2018,110.54
20/08/2018,110.38
21/08/2018,110.48
22/08/2018,110.54
23/08/2018,111.14
24/08/2018,111.22
27/08/2018,111.09
28/08/2018,111.04
29/08/2018,111.8
30/08/2018,111.17
31/08/2018,110.98
03/09/2018,.
04/09/2018,111.44
05/09/2018,111.47
06/09/2018,110.87
07/09/2018,111.18
10/09/2018,111.09
11/09/2018,111.54
12/09/2018,111.29
13/09/2018,111.92
14/09/2018,112.09
17/09/2018,111.97
18/09/2018,112.3
19/09/2018,112.21
20/09/2018,112.58
21/09/2018,112.62
24/09/2018,112.62
25/09/2018,112.88
26/09/2018,112.92
27/09/2018,113.38
28/09/2018,113.48
01/10/2018,113.96
02/10/2018,113.66
03/10/2018,114.19
04/10/2018,113.79
05/10/2018,113.56
08/10/2018,.
09/10/2018,113.13
10/10/2018,112.71
11/10/2018,112.26
12/10/2018,112.02
15/10/2018,111.82
16/10/2018,112.16
17/10/2018,112.21
18/10/2018,112.11
19/10/2018,112.52
22/10/2018,112.78
23/10/2018,112.12
24/10/2018,112.58
25/10/2018,112.54
26/10/2018,111.65
29/10/2018,112.49
30/10/2018,112.76
31/10/2018,112.86
01/11/2018,112.79
02/11/2018,113.09
05/11/2018,113.22
06/11/2018,113.38
07/11/2018,113.32
08/11/2018,113.87
09/11/2018,113.77
12/11/2018,.
13/11/2018,113.97
14/11/2018,113.7
15/11/2018,113.46
16/11/2018,112.76
19/11/2018,112.54
20/11/2018,112.66
21/11/2018,113.06
22/11/2018,.
23/11/2018,112.83
26/11/2018,113.58
27/11/2018,113.84
28/11/2018,113.96
29/11/2018,113.42
30/11/2018,113.54
03/12/2018,113.54
04/12/2018,112.93
05/12/2018,.
06/12/2018,112.46
07/12/2018,112.6
10/12/2018,112.96
11/12/2018,113.41
12/12/2018,113.28
13/12/2018,113.66
14/12/2018,113.35
17/12/2018,112.96
18/12/2018,112.54
19/12/2018,112.15
20/12/2018,111.34
21/12/2018,111.14
24/12/2018,.
25/12/2018,.
26/12/2018,110.45
27/12/2018,110.78
28/12/2018,110.34
31/12/2018,109.7
01/01/2019,.
02/01/2019,109.22
03/01/2019,108.07
04/01/2019,108.29
07/01/2019,108.62
08/01/2019,108.57
09/01/2019,108.38
10/01/2019,108.29
11/01/2019,108.34
14/01/2019,.
15/01/2019,108.72
16/01/2019,108.84
17/01/2019,109.01
18/01/2019,109.79
21/01/2019,.
22/01/2019,109.34
23/01/2019,109.44
24/01/2019,109.72
25/01/2019,109.6
28/01/2019,109.2
29/01/2019,109.36
30/01/2019,109.57
31/01/2019,108.84
01/02/2019,109.55
04/02/2019,109.96
05/02/2019,109.99
06/02/2019,109.75
07/02/2019,109.7
08/02/2019,109.76
11/02/2019,110.4
12/02/2019,110.5
13/02/2019,110.86
14/02/2019,110.68
15/02/2019,110.54
18/02/2019,.
19/02/2019,110.68
20/02/2019,.
21/02/2019,110.72
22/02/2019,110.7
25/02/2019,111.07
26/02/2019,110.76
27/02/2019,110.92
28/02/2019,111.38
01/03/2019,111.89
04/03/2019,111.68
05/03/2019,111.98
06/03/2019,111.66
07/03/2019,111.6
08/03/2019,111.11
11/03/2019,111.21
12/03/2019,111.38
13/03/2019,111.23
14/03/2019,111.71
15/03/2019,111.57
18/03/2019,111.41
19/03/2019,111.38
20/03/2019,111.41
21/03/2019,110.86
22/03/2019,109.76
25/03/2019,110.09
26/03/2019,110.5
27/03/2019,110.38
28/03/2019,110.54
29/03/2019,110.68
01/04/2019,111.29
02/04/2019,111.32
03/04/2019,111.48
04/04/2019,111.55
05/04/2019,111.71
08/04/2019,111.47
09/04/2019,111.08
10/04/2019,110.92
11/04/2019,111.48
12/04/2019,112
15/04/2019,112
16/04/2019,111.95
17/04/2019,112
18/04/2019,111.94
19/04/2019,111.92
22/04/2019,111.94
23/04/2019,111.86
24/04/2019,111.81
25/04/2019,111.59
26/04/2019,111.6
29/04/2019,111.8
30/04/2019,111.4
01/05/2019,111.18
02/05/2019,111.39
03/05/2019,111.28
06/05/2019,110.86
07/05/2019,110.34
08/05/2019,110.12
09/05/2019,109.55
10/05/2019,109.56
13/05/2019,109.18
14/05/2019,109.68
15/05/2019,109.58
16/05/2019,109.89
17/05/2019,109.9
20/05/2019,109.96
21/05/2019,110.6
22/05/2019,110.28
23/05/2019,109.58
24/05/2019,109.38
27/05/2019,.
28/05/2019,109.49
29/05/2019,109.24
30/05/2019,109.67
31/05/2019,108.66
03/06/2019,108.39
04/06/2019,108.3
05/06/2019,108.2
06/06/2019,108.08
07/06/2019,108.15
10/06/2019,108.56
11/06/2019,108.52
12/06/2019,108.42
13/06/2019,108.44
14/06/2019,108.44
17/06/2019,108.56
18/06/2019,108.39
19/06/2019,108.36
20/06/2019,107.52
21/06/2019,107.55
24/06/2019,107.36
25/06/2019,106.92
26/06/2019,107.64
27/06/2019,107.73
28/06/2019,107.84
01/07/2019,108.42
02/07/2019,107.98
03/07/2019,107.84
04/07/2019,.
05/07/2019,108.55
08/07/2019,108.72
09/07/2019,108.78
10/07/2019,108.44
11/07/2019,108.29
12/07/2019,108
15/07/2019,107.89
16/07/2019,108.35
17/07/2019,108.1
18/07/2019,107.74
19/07/2019,107.78
22/07/2019,107.91
23/07/2019,108.06
24/07/2019,108.08
25/07/2019,108.58
26/07/2019,108.69
29/07/2019,108.86
30/07/2019,108.66
31/07/2019,108.58
01/08/2019,108.28
02/08/2019,106.64
05/08/2019,106.02
06/08/2019,106.45
07/08/2019,105.62
08/08/2019,106.04
09/08/2019,105.3
12/08/2019,105.38
13/08/2019,106.6
14/08/2019,105.79
15/08/2019,106.12
16/08/2019,106.34
19/08/2019,106.5
20/08/2019,106.35
21/08/2019,106.52
22/08/2019,106.44
23/08/2019,105.3
26/08/2019,106
27/08/2019,105.8
28/08/2019,105.86
29/08/2019,106.5
30/08/2019,106.3
02/09/2019,.
03/09/2019,105.88
04/09/2019,106.28
05/09/2019,106.96
06/09/2019,106.8
09/09/2019,107.14
10/09/2019,107.34
11/09/2019,107.73
12/09/2019,107.97
13/09/2019,108.12
16/09/2019,107.94
17/09/2019,108.12
18/09/2019,108.17
19/09/2019,108
20/09/2019,107.95
23/09/2019,107.47
24/09/2019,107.32
25/09/2019,107.78
26/09/2019,107.67
27/09/2019,108.05
30/09/2019,108.11
01/10/2019,107.7
02/10/2019,107.21
03/10/2019,106.76
04/10/2019,106.91
07/10/2019,107.06
08/10/2019,107.06
09/10/2019,107.43
10/10/2019,107.91
11/10/2019,108.52
14/10/2019,.
15/10/2019,108.83
16/10/2019,108.71
17/10/2019,108.51
18/10/2019,108.44
21/10/2019,108.57
22/10/2019,108.56
23/10/2019,108.64
24/10/2019,108.62
25/10/2019,108.75
28/10/2019,109.02
29/10/2019,108.83
30/10/2019,108.88
31/10/2019,108.09
01/11/2019,108.16
04/11/2019,108.56
05/11/2019,109.13
06/11/2019,108.86
07/11/2019,109.42
08/11/2019,109.14
11/11/2019,.
12/11/2019,109.09
13/11/2019,108.83
14/11/2019,108.33
15/11/2019,108.8
18/11/2019,108.61
19/11/2019,108.59
20/11/2019,108.67
21/11/2019,108.53
22/11/2019,108.67
25/11/2019,108.95
26/11/2019,109.11
27/11/2019,109.38
28/11/2019,.
29/11/2019,109.47
02/12/2019,109.09
03/12/2019,108.53
04/12/2019,108.87
